Row Labels,Min of F Score,Average of F Score,Max of F Score
11Segments6Length,0.60,0.63,0.66
11Segments6LengthNoLog,0.57,0.61,0.65
11Segments7Length,0.61,0.64,0.67
11Segments7LengthNoLog,0.56,0.61,0.68
11Segments8Length,0.61,0.63,0.68
11Segments8LengthNoLog,0.57,0.61,0.66
11Segments9Length,0.61,0.64,0.66
11Segments9LengthNoLog,0.55,0.61,0.66
13Segments5Length,0.59,0.62,0.66
13Segments5LengthNoLog,0.57,0.61,0.67
13Segments6Length,0.58,0.63,0.67
13Segments6LengthNoLog,0.56,0.61,0.66
13Segments7Length,0.60,0.63,0.66
13Segments7LengthNoLog,0.56,0.61,0.66
15Segments4Length,0.61,0.63,0.65
15Segments4LengthNoLog,0.56,0.61,0.66
15Segments5Length,0.60,0.63,0.66
15Segments5LengthNoLog,0.55,0.61,0.67
15Segments6Length,0.60,0.62,0.66
15Segments6LengthNoLog,0.57,0.61,0.66
17Segments4Length,0.60,0.63,0.67
17Segments4LengthNoLog,0.58,0.62,0.65
17Segments5Length,0.61,0.63,0.66
17Segments5LengthNoLog,0.58,0.61,0.65
20Segments3Length,0.60,0.62,0.65
20Segments3LengthNoLog,0.57,0.61,0.64
20Segments4Length,0.59,0.62,0.65
20Segments4LengthNoLog,0.58,0.62,0.67
20Segments5Length,0.60,0.62,0.65
20Segments5LengthNoLog,0.58,0.62,0.66
3Segments23Length,0.59,0.63,0.67
3Segments23LengthNoLog,0.51,0.58,0.65
3Segments24Length,0.58,0.63,0.67
3Segments24LengthNoLog,0.52,0.58,0.65
3Segments25Length,0.58,0.63,0.67
3Segments25LengthNoLog,0.52,0.58,0.65
3Segments26Length,0.58,0.63,0.67
3Segments26LengthNoLog,0.52,0.58,0.65
3Segments27Length,0.58,0.63,0.68
3Segments27LengthNoLog,0.52,0.58,0.64
3Segments28Length,0.59,0.63,0.67
3Segments28LengthNoLog,0.52,0.58,0.65
3Segments29Length,0.59,0.63,0.67
3Segments29LengthNoLog,0.52,0.58,0.64
3Segments30Length,0.60,0.63,0.66
3Segments30LengthNoLog,0.51,0.58,0.64
3Segments31Length,0.59,0.63,0.67
3Segments31LengthNoLog,0.51,0.58,0.64
3Segments32Length,0.60,0.63,0.66
3Segments32LengthNoLog,0.51,0.58,0.64
3Segments33Length,0.60,0.63,0.67
3Segments33LengthNoLog,0.51,0.58,0.65
4Segments17LengthNoLog,0.52,0.58,0.65
4Segments18LengthNoLog,0.52,0.59,0.65
4Segments19LengthNoLog,0.52,0.59,0.66
4Segments20LengthNoLog,0.51,0.59,0.66
4Segments21LengthNoLog,0.52,0.59,0.66
4Segments22LengthNoLog,0.52,0.59,0.66
4Segments23LengthNoLog,0.52,0.59,0.66
4Segments24LengthNoLog,0.53,0.59,0.66
4Segments25LengthNoLog,0.52,0.59,0.66
5Segments14Length,0.60,0.64,0.69
5Segments14LengthNoLog,0.53,0.59,0.66
5Segments15Length,0.61,0.64,0.70
5Segments15LengthNoLog,0.53,0.59,0.66
5Segments16Length,0.60,0.64,0.69
5Segments16LengthNoLog,0.53,0.59,0.65
5Segments17Length,0.60,0.64,0.69
5Segments17LengthNoLog,0.53,0.59,0.66
5Segments18Length,0.60,0.64,0.68
5Segments18LengthNoLog,0.52,0.59,0.66
5Segments19Length,0.60,0.64,0.69
5Segments19LengthNoLog,0.52,0.59,0.66
5Segments20Length,0.61,0.63,0.68
5Segments20LengthNoLog,0.52,0.59,0.66
7Segments10Length,0.62,0.65,0.67
7Segments10LengthNoLog,0.55,0.60,0.65
7Segments11Length,0.62,0.65,0.69
7Segments11LengthNoLog,0.54,0.60,0.66
7Segments12Length,0.60,0.64,0.68
7Segments12LengthNoLog,0.54,0.60,0.65
7Segments13Length,0.62,0.65,0.69
7Segments13LengthNoLog,0.53,0.60,0.66
7Segments14Length,0.63,0.65,0.69
7Segments14LengthNoLog,0.54,0.61,0.66
9Segments10Length,0.62,0.65,0.68
9Segments10LengthNoLog,0.54,0.61,0.66
9Segments11Length,0.62,0.65,0.69
9Segments11LengthNoLog,0.55,0.60,0.66
9Segments7Length,0.60,0.64,0.68
9Segments7LengthNoLog,0.56,0.61,0.66
9Segments8Length,0.60,0.64,0.68
9Segments8LengthNoLog,0.55,0.61,0.67
9Segments9Length,0.60,0.64,0.68
9Segments9LengthNoLog,0.54,0.60,0.66
(blank),,,
Grand Total,0.509427522,0.61371755,0.696856687
,0.63,0.65,0.70
