class,Theta_1,Alpha_1,LowBeta_1,HighBeta_1,Gamma_1,Theta_2,Alpha_2,LowBeta_2,HighBeta_2,Gamma_2,Theta_3,Alpha_3,LowBeta_3,HighBeta_3,Gamma_3,Theta_4,Alpha_4,LowBeta_4,HighBeta_4,Gamma_4,Theta_5,Alpha_5,LowBeta_5,HighBeta_5,Gamma_5,Theta_6,Alpha_6,LowBeta_6,HighBeta_6,Gamma_6,Theta_7,Alpha_7,LowBeta_7,HighBeta_7,Gamma_7,Theta_8,Alpha_8,LowBeta_8,HighBeta_8,Gamma_8,Theta_9,Alpha_9,LowBeta_9,HighBeta_9,Gamma_9,Theta_10,Alpha_10,LowBeta_10,HighBeta_10,Gamma_10,Theta_11,Alpha_11,LowBeta_11,HighBeta_11,Gamma_11,Theta_12,Alpha_12,LowBeta_12,HighBeta_12,Gamma_12,Theta_13,Alpha_13,LowBeta_13,HighBeta_13,Gamma_13,Theta_14,Alpha_14,LowBeta_14,HighBeta_14,Gamma_14,Theta_15,Alpha_15,LowBeta_15,HighBeta_15,Gamma_15,Theta_16,Alpha_16,LowBeta_16,HighBeta_16,Gamma_16,Theta_17,Alpha_17,LowBeta_17,HighBeta_17,Gamma_17,Theta_18,Alpha_18,LowBeta_18,HighBeta_18,Gamma_18,Theta_19,Alpha_19,LowBeta_19,HighBeta_19,Gamma_19,Theta_20,Alpha_20,LowBeta_20,HighBeta_20,Gamma_20,Theta_21,Alpha_21,LowBeta_21,HighBeta_21,Gamma_21,Theta_22,Alpha_22,LowBeta_22,HighBeta_22,Gamma_22,Theta_23,Alpha_23,LowBeta_23,HighBeta_23,Gamma_23,Theta_24,Alpha_24,LowBeta_24,HighBeta_24,Gamma_24,Theta_25,Alpha_25,LowBeta_25,HighBeta_25,Gamma_25,Theta_26,Alpha_26,LowBeta_26,HighBeta_26,Gamma_26,Theta_27,Alpha_27,LowBeta_27,HighBeta_27,Gamma_27,Theta_28,Alpha_28,LowBeta_28,HighBeta_28,Gamma_28,Theta_29,Alpha_29,LowBeta_29,HighBeta_29,Gamma_29,Theta_30,Alpha_30,LowBeta_30,HighBeta_30,Gamma_30,Theta_31,Alpha_31,LowBeta_31,HighBeta_31,Gamma_31,Theta_32,Alpha_32,LowBeta_32,HighBeta_32,Gamma_32,Theta_33,Alpha_33,LowBeta_33,HighBeta_33,Gamma_33,Theta_34,Alpha_34,LowBeta_34,HighBeta_34,Gamma_34,Theta_35,Alpha_35,LowBeta_35,HighBeta_35,Gamma_35,Theta_36,Alpha_36,LowBeta_36,HighBeta_36,Gamma_36,Theta_37,Alpha_37,LowBeta_37,HighBeta_37,Gamma_37,Theta_38,Alpha_38,LowBeta_38,HighBeta_38,Gamma_38,Theta_39,Alpha_39,LowBeta_39,HighBeta_39,Gamma_39,Theta_40,Alpha_40,LowBeta_40,HighBeta_40,Gamma_40
1,742.31,664.56,390.91,259.47,217.47,868.01,690.23,419.69,239.67,178.72,952.81,711.94,463.62,254.56,197.33,986.87,740.05,390.34,250.46,220.85,721.52,576.35,309.69,219.31,188.15,699.04,493.29,344.57,188.01,153.62,694.63,548.06,310.25,220.25,180.51,1159.8,785.84,492.38,416.15,416.58,698.34,681.94,316.3,238.71,198.28,442.15,475.49,246.71,171.86,95.149,1041.1,852.94,364.23,235.02,202.52,869.47,874.47,403.47,293.12,278.97,759.34,918.25,320.72,185.32,136.2,794.45,803.61,329.51,197.96,168.61,794.5,747.26,319.15,189.05,153.02,509.66,603.31,254.15,153.31,94.811,1038.8,798.14,435.71,292.16,245.64,1016.6,710.6,379.69,263.12,238.31,1062.8,726.8,404.32,189.79,125.01,1117.5,867.71,452.79,267.23,212.71,816.05,695.16,479.56,326.7,275.73,728.51,595.6,348.71,241.92,184.3,926.35,655.33,372.41,199.58,134.47,512.64,389.79,305.83,204.82,97.146,721.47,571.77,306.38,202.18,148.51,1057.9,727.15,418.06,280.87,269.05,545.16,583.91,307.31,191.61,156.86,442.12,466.39,255.56,163.63,97.289,1157.6,812.87,400.87,275.29,235.91,647.08,679.95,387.44,290.84,287.78,1013.8,858.18,367.04,229.01,185.09,856.93,814.08,342.91,202.27,163.79,1506.6,794.75,436.59,417.8,419.48,1507.2,641.62,370.27,337.07,344.55,527.57,335.18,243.23,229.09,228.84,2234.4,1400,920.71,498.98,328.56,4085.7,2068.6,1226.8,965.99,1196.4,60739,37530,24054,19378,16223,1.18E+05,35300,20526,15384,12249,0.36497,0.18372,0.10862,0.081873,0.06585
-1,725.64,592.6,365.79,195.67,150.42,847.91,638.2,411.33,196.1,133.37,917.55,667.77,458.7,225.49,154.7,908.38,664.71,366.77,225.89,181.51,728.27,535.44,281.65,198.3,177.57,691.37,493.3,323.42,167.52,120.17,734.15,542.36,288.31,189.65,139.52,1094.9,747.47,436.23,355.65,342.58,605,644.08,280.27,196.72,157.48,444.81,463.42,243.57,146.58,94.948,1043.9,851.06,343.34,181.06,142.99,702.35,794.98,362.57,259.28,232.2,712.02,865,324.49,176.85,128.52,739.66,755.89,326.16,193.43,148.42,761.2,709.12,328.37,188.79,158.8,503.58,579.9,258.78,135.38,92.811,1031.4,736.05,391.66,210.34,152.37,972.4,625.33,343.17,200.26,155.88,936.7,639.78,386.42,183.72,107.83,1045.7,719.08,407.61,202.73,150.57,719.84,642.05,397.87,219.77,184.76,615.64,547.77,311.55,195.4,152.49,852.38,586.54,347.92,177.45,111.22,500.72,371.69,269.24,180.79,92.724,655.04,545.05,286.95,177.52,115.38,945.28,658.42,380.57,249.94,206.2,452.13,524.7,292.65,174.38,135.87,450.74,444.43,238.37,147.97,87.343,1204.2,815.96,383.31,214.48,165.76,590.66,569.13,362.75,247.14,235.9,1036.3,843.52,359.29,196.44,154.44,853.15,787,347.71,207.26,183.26,1356.2,718.37,397.17,315.65,258.87,1800.4,789.48,395.78,263.34,233.06,463.58,302,211.02,175.82,153.85,1937.7,1353.9,863.59,442.06,222.74,83341,42106,24757,18579,14868,1.15E+05,70488,46046,36799,31753,99560,13641,7400.5,5576.2,4451.2,0.13578,0.070722,0.044044,0.034565,0.029826
-1,601.55,544.75,351.27,195.87,125.19,676.61,557.93,388.02,196.01,124.38,682.29,569.43,419.85,213.49,156.89,641.71,586.52,361.86,211.95,165.01,522.03,451.26,275.48,160.77,116.31,493.78,400.84,316.74,169.05,108.81,537.21,478.93,279.02,167.22,124.39,670.97,611.47,379.69,257.17,236.98,552.23,581.95,281.38,168.39,132,472.79,456.99,237.97,148.89,88.11,690.03,703.65,322.94,188.18,141.01,721.31,723.43,349.38,232.09,216.13,675.93,823.42,327.59,183.82,150.28,730.69,703.19,353.79,227.06,213.81,746.17,663.83,317.72,182.58,150.67,487.78,553.51,242.02,141.33,88.709,824.42,600.62,378.25,209.1,139.04,750.13,557.24,334.9,197.11,146.58,898.54,563.85,371.84,187.02,110.58,892.08,630.48,390.84,210.99,130.15,652.29,557.9,400.8,227.45,144.85,546.27,491.19,321.62,194.58,122.96,790.87,523.65,353.84,185.69,110.77,501.72,357.61,291.56,189.88,90.865,458.69,461.33,291.91,177,112.85,685.07,589.01,354.43,227.21,175.25,468.45,531.46,276.44,161.51,124.05,441.58,430.38,235.95,147.77,84.394,694.27,689.25,361.44,207.16,150.82,570.49,621.53,309.17,198.66,180.88,754.82,784.18,341.28,180.34,128.94,803.63,768.35,323.68,174.83,133.76,745.39,524.48,328.68,245.69,185.56,734.57,396.74,292.15,207.36,191.4,485.03,305.23,213.97,183.24,152.59,2149.6,1451.7,920.97,472.1,271.07,99400,50155,29511,22150,17647,35763,24337,15736,13296,10685,1.12E+05,11833,5675.2,4235.5,3397.5,0.051461,0.026631,0.022339,0.01981,0.019478
-1,799.87,611.85,368.92,213.97,148.3,876.26,656.53,417.35,223.1,167.59,907.67,682.1,465.7,264.57,211.88,895.59,678.31,409.49,314.62,273.92,660.54,546.01,300.07,213.24,167.2,628.65,514.81,321.92,192.99,127.12,634.23,546.4,301.45,194.6,136.5,926.84,702.14,427.83,302.27,282.61,686.75,636.39,301.48,178.94,132.57,504.34,480.43,243.69,154.45,97.009,1014.1,792.89,340.37,193.86,135.5,861.72,776.27,357.5,231.12,202.98,780.15,858.78,324.92,188.85,141.32,830.06,750.03,330.04,209.3,176.01,872.05,726.73,315.54,180.31,144.47,543.31,567.79,251.86,147.15,96.336,1061,664.4,381.42,226.16,146.77,947.6,610.56,338.56,194.43,146.32,1071.8,688.24,386.21,194.41,113.69,1180.2,701.7,412.44,208.97,131.82,768.72,600.89,399.32,237.58,157.16,654.24,515.9,350.02,201.38,136.49,928.16,595.61,354.81,191.69,117.22,473.38,389.58,281.53,199.21,95.589,606.68,509.66,306.29,202.11,126.11,818.16,655,367,233.83,194.86,470.07,542.37,285.66,180.7,130.18,422.03,444.31,241.13,164.36,94.483,1019,736.99,380.16,231.08,154.73,570.46,611.44,314.31,231.9,199.02,992.83,807.49,350.03,197.52,135.2,898.85,781.78,330.5,183.44,140.17,1426.5,727.3,365.52,253.73,212.95,1428.4,638.41,364.33,262.69,231.22,493.32,302.64,222.01,172.75,150.9,2174.5,1405.4,936.7,449.89,239.24,1.16E+05,58491,34426,25877,20534,32861,20943,14440,11545,10316,1.33E+05,40132,23584,17746,14113,0.291,0.14723,0.087297,0.06639,0.053426
1,562.64,513.74,356.64,220.99,170.13,665.06,520.3,387.42,223.32,146.32,714.1,531.23,417,240.77,158.18,755.12,578.63,409.8,298.26,247.74,555.94,434.68,303.32,229.78,187.43,552.35,409.53,313.05,189.08,134.17,606.49,463.31,305.42,215.1,158.96,935.7,671.05,523.13,437.42,438.61,552.59,536.86,306.84,214.28,164.28,410.01,424.57,242.54,152.58,99.305,758.58,684.32,360.74,236.37,194.98,559.85,655.44,369.24,250.9,223.01,573.84,736.75,319.88,193.87,149.08,620.69,652.53,330.61,228.69,196.51,633.17,602.36,304.9,188.89,147.26,435.17,486.73,241.63,149.46,100.45,749.46,569.19,388.46,230.54,169.4,742.04,543.22,349.88,241.25,196.25,677.96,529,379.7,189.21,116.85,789.05,579.6,407.61,227.24,157.03,648.69,547.8,419.41,240.46,177.9,529.23,473.88,334.6,199.74,131.42,633.08,501.6,353.9,185.8,127.17,471.2,352.91,284.26,193.17,101.95,573.81,481.51,306.31,214.5,133.4,739.96,596.73,411.71,310.39,252.04,419.51,477.38,289.59,177.14,114.17,430.13,405.43,239.17,166.87,97.153,937.19,656.94,397.85,281.2,216.82,483.67,520.42,292.9,203.51,167.96,807.99,676.7,358.11,220.44,166.28,671.04,647.68,319.82,190.8,137.75,1918.5,990.44,583.89,530.92,479.05,1728.6,823.96,519.05,441.02,382.45,517.88,333.11,259.68,226.9,212.72,2011,1308.9,848.55,427.54,236.15,1.14E+05,57685,33941,25484,20289,44373,28151,21451,17364,14785,1.56E+05,56900,33609,25261,20105,0.29178,0.1487,0.088397,0.066649,0.053428
1,695.31,635.55,368.05,191.89,132.45,777.26,667.35,416.66,201.11,123.68,823.7,680.46,450.32,211.36,131.2,825.58,668.73,357.93,200.8,146.88,612.78,496.86,271.66,176.4,122.01,639.12,480.23,320.52,182,107.5,581.88,519.62,291.9,176.19,121.56,960.7,689.43,428.06,338.37,309.43,600.24,606.14,297.98,180.84,135.7,462.22,505.05,246.63,139.95,92.067,827.36,799.27,345.23,187.77,143.82,720.73,769.16,367.07,253.65,207.26,693.9,895.13,334.84,191.75,152.15,756.84,787.55,363.55,237.54,213.15,772.69,739.66,324.68,191.38,149.22,486.18,603.1,255.42,138.21,91.181,905.32,710.45,382.26,204.29,151.04,848.4,646.78,338.7,197.42,149.19,920.02,671.78,390.65,179.84,114.2,958.38,784.07,407.48,212.64,142.24,657.87,639.74,404.1,229.28,164.89,560.31,574.63,327.67,186.01,125.33,844.13,631.73,352.95,176.64,116.97,526.63,395.09,279.93,178.61,96.273,644.82,585.94,315.07,173.51,114.54,789.71,639.36,377.83,234.44,197.41,471.61,554.24,286.2,167.01,120.73,478.76,474.94,246.88,143.43,86.17,968.16,767.39,374.2,207.17,152.82,580.17,614.57,301.71,190.67,158.16,883.76,824.86,348.97,182.19,126.55,814.44,808.65,327.27,171.43,125.17,1326.4,752.2,424.46,336.8,304.65,1132.4,509.46,283.22,202.99,175.33,725.3,382.08,254.86,200.34,177.26,2006.6,1373.8,884.81,419.34,221.58,46096,23269,13691,10276,8190.6,78392,49108,34657,27591,25945,1.25E+05,45549,26089,19532,15513,0.060308,0.031259,0.023139,0.020268,0.019577
-1,749.34,575.48,350.4,223.73,158.67,903.71,626.49,386.55,224.31,145.36,956.11,659.81,446.39,293.42,225.68,882.16,663.08,385.39,292.74,268.32,790.45,601.91,416.67,381.55,390.48,667.66,456.48,331.04,202.15,149.51,634.66,523.55,312,236.56,190.61,926.02,663.46,469.36,326.72,318.22,637.25,592.15,299.08,207.77,170.76,481.27,467.68,242.8,171.09,98.411,972.23,747.65,328.05,208.28,160.8,852.79,755.92,388.99,301.02,276.19,725.08,787.25,313.97,193.89,141.96,793.17,716.05,332.29,214.53,172.83,779.08,683.62,309.66,191.79,149.5,534.5,551.96,246.18,153.24,96.048,1132.8,696.63,373.64,221.19,157.42,973.7,598.98,330.85,197.72,149.33,1201,676.38,387.19,196.86,122.37,1199.9,730.13,391.67,217.46,165.89,799.86,608.25,419.37,309.05,268.16,706.75,571.02,424.41,342.95,336.12,999.82,597.98,358.84,210.06,150.37,526.84,374.25,286.92,212.6,108.59,615.01,550.1,366.84,309.83,276.54,1070.4,789.47,608.61,558.64,574.78,590.94,576.33,415.97,383.13,407.29,421.51,416.06,243,189.26,126.71,1034,693.21,353.89,249.41,193.56,653.05,602.36,371.27,320.46,318.82,953.99,756.74,322.99,206.56,151.9,838.54,730.5,306.5,196.59,148.36,1214.6,699.2,378.86,277.13,237.01,1306.8,592.23,270.55,219.86,191.32,618.33,358.97,239.66,201.4,161.04,2900.3,1759,1062.6,651.18,461.77,3.13E+05,1.58E+05,92973,69813,55533,42323,27623,16755,13090,11377,1.83E+05,77823,45781,34399,27323,0.21696,0.11152,0.065604,0.050613,0.041368
1,623.11,584.52,376.08,193.52,153.92,755.23,623.22,412.89,209.9,143.48,855.23,660.83,454.67,255.02,191.01,841.05,662.08,385.96,247.35,196.74,643.08,521.89,286.99,190.03,165.13,637.39,494.61,335.11,194.34,143.77,623.94,554.55,302.02,186.59,156.57,935.38,711.87,467.12,354.92,362.88,614.15,632.01,291.95,167.06,128.46,457.28,478.47,250.66,146.18,93.527,866.32,757.13,372.67,212.03,181.53,776.88,759.27,333.96,185.67,138.54,707.24,834.39,324.48,180.8,127.04,763.87,757.93,324.76,189.08,144.06,759.97,739.64,315.15,167.78,125.45,497.8,566.04,251.68,137.04,93.238,941.62,647.73,401.17,218.87,167.69,937.13,605.4,360.5,222.87,187.87,1031,653.84,394.15,184.19,118.97,1073.6,691.88,428.96,220.65,165.94,743.19,630.54,398.81,232.12,164.97,640.89,553.93,332.57,216.27,150.25,922.46,598.75,374.05,179.45,124.92,535.61,406.47,297.73,183.44,96.543,622.91,589.24,328.83,183.65,131.49,885.96,692.53,392.1,235.88,216.19,511.28,558.79,290.48,154.94,111.14,443.16,477.74,252.93,141.1,88.817,941.85,760.77,415.07,248.58,218.18,598.98,638.87,295.82,173.71,150.59,863.95,842.18,371.96,201.83,164.93,804,839.62,334.86,173.61,133.07,1244.5,691.69,373.78,259.11,209.78,1228.4,568.94,405.67,311.15,324.64,578.6,359.38,242.1,186.91,162.96,2459.4,1518.6,960.04,514.93,326.02,10766,5454.9,3206.9,2442.8,2415.3,56764,34664,23727,17277,14724,84838,10600,5372.5,4057.5,3233.2,0.36368,0.18504,0.10877,0.082826,0.066065
1,636.3,519.14,361.94,227.2,176.71,737.45,533.58,385.53,219.64,145.1,810.66,552.79,413.92,236.75,151.56,849.52,583.86,345.52,212.26,170.58,642.87,424.85,266.1,178.37,138.29,593.63,410.48,313.88,171.38,129.79,641.46,466.33,283.94,184.08,137.38,1003.7,666.4,461.91,370.71,385.25,553.79,513.31,284.77,170.83,134.24,393.24,414.21,244.84,151.14,90.504,913.9,669.22,344.58,213.74,171.16,639.02,626.55,330.74,190.45,153.27,618.21,699.51,326.79,175.22,134.16,642.7,632.49,332.22,195.24,158.84,676.16,615.12,323.97,200.63,170.8,462.15,464.39,254.2,149.88,94.972,894.88,576.66,387.37,236.47,173.91,806.92,519.17,363.22,226.85,184.3,774.37,507.54,376.83,189.83,115.19,905.38,559.81,399.6,217.67,151.45,657.56,524.91,384.69,220.6,144.97,548.43,477.02,329.48,176.7,121.22,834.53,503.99,369.27,182.23,126.21,459.69,353.76,309,182.85,98.389,611.68,545.23,317.74,181.65,125.18,830.34,563.2,401.25,244.45,227.09,424.98,476.92,268.25,170.18,110.67,438.41,414.78,246.67,156.58,89.727,1087.7,646.76,391.02,246.58,202.97,485.68,513.94,274.26,185.75,145.91,908.6,678.02,355.87,219.41,176.94,739.47,678.17,345.48,234.34,208.31,1441.8,742.57,405.16,321.11,246.54,1509.9,545.17,375.81,289.11,288.1,565.84,323.56,233.69,185.26,149.3,2034,1347.8,893.29,494.02,311.04,76926,38821,22846,17177,14531,44000,31624,21760,18828,16260,1.45E+05,48551,27983,21015,16698,0.10587,0.055332,0.035754,0.02863,0.024482
1,655.84,594.65,387.43,222.11,180.83,811.55,632.12,418.84,211.29,151.44,872.47,657.63,453.46,224.45,157.15,868.09,678.94,363.92,208.9,165.21,704.22,519.83,278.36,177.03,136.12,704.36,492.17,343.78,189.91,128.95,688.07,587.65,308.95,186.75,146.45,1081.1,725.1,446.85,330.43,351.58,628.42,613.81,297.54,175.72,129.28,458.71,507.96,258.34,150.43,89.441,1030.6,745.85,363.31,229.13,177.53,770.25,692.07,317,182.07,128.81,775.2,820.23,333.11,180.26,123.24,830.76,720.59,327.74,179.47,130.23,816.54,709.01,306.11,162.5,116.54,528.31,594.71,267.29,144.75,91.384,1037.3,643.71,403.39,233.11,178.26,1037.8,608.95,367.05,229.08,187.53,1012.9,624.13,402.04,187.52,114.63,1139,694.3,415.35,232.3,163.99,741.94,605.88,402.12,236.54,169.3,667.39,558.94,329.19,179.06,126.24,969.49,612.67,359.54,194.36,123.23,508.33,418.38,290.51,194.53,96.888,656.91,623.34,311.83,178.16,132.65,941.28,692.22,403.79,239.87,219.43,449.11,557.23,283.39,155.13,115.82,428.56,485.81,243.58,146.46,90.787,1143.4,738,402.35,250.26,217.6,576.14,606.96,295.26,184.95,148.13,1006.6,787.32,365.76,207.03,160.64,852.79,772.52,330.86,180.22,125.15,1575,792.54,392.47,272.97,227.74,1684,742.46,493.22,398.77,363.28,519.95,327.97,227.39,177.18,147.53,2505,1558.9,975.34,562.04,363.81,57795,29179,17152,12853,10329,61434,37266,25459,20306,16809,1.38E+05,44322,25617,19173,15249,0.10447,0.055072,0.034966,0.029115,0.025596
1,792.02,613.75,376.75,209.81,148.55,902.05,651.64,424.74,224.69,138.15,953.67,690.83,467.03,248.46,162.55,1035.3,746.34,442.29,297.65,276.41,696.47,595.77,281.24,171.4,136.25,678.13,505.43,330.32,184.89,119.15,659.05,568.55,292.42,178.65,138.83,1092.9,774.69,462.68,308.19,326.48,692.21,654.52,292.11,178.89,137.47,465.63,481.09,245.47,154.78,93.657,947.13,758.07,366.39,210.76,165.75,857.85,768.68,348.65,220.14,187.99,756.86,852.25,327.41,182.8,133.03,827.55,775.74,324.01,197.08,156.14,876.63,736.32,319.79,177.65,134.18,561.62,567.86,264.46,151.23,92.696,1039.3,706.83,408.88,228.16,165.82,991.43,636.2,353.75,219.17,171.34,1146.5,705.77,408.13,205.07,112.64,1130.6,765.9,431.51,228.09,156.75,795.5,630.64,398.52,228.29,165.7,672.81,590.94,322.87,180.58,126.58,979.67,636.05,368.83,193.46,116.21,519.58,408.32,285.58,185.45,93.402,642.25,609.37,311.16,181.29,122.99,947.14,724.9,374.95,220.4,182.25,523.82,566.89,282.97,163.93,105.47,447.72,455.28,239.08,151.26,88.222,1090.7,728.54,400.53,238.62,192.67,644.38,619.18,297.56,192.61,151.34,1020.2,788.77,369.52,205.08,154.53,917.72,793.34,341,192.96,143.56,1649.3,794.71,389.28,264.02,214.18,1265.8,585.16,375.37,284.13,271.68,487.62,296.54,202.39,166.64,143.79,2055.6,1344.8,871.36,435.34,211.53,65679,33147,19494,14629,11749,1.18E+05,68447,45225,36466,29459,1.29E+05,42894,25000,18761,14923,0.21622,0.10702,0.065419,0.050113,0.040151
1,665.54,609.45,357.33,204.47,147.49,746.53,639.24,389.37,208.78,131.45,787.25,649.37,409.93,230.09,166.66,760.65,596.34,428.98,289.82,294.98,546.58,450.05,275.45,193.44,151.14,593.93,459.04,316.77,172.29,119.96,594.7,534.49,297.04,178.26,140.06,861.68,648.58,465.06,391.68,397.66,556.25,623.77,301.66,186.95,150.33,453.04,519.27,258.19,146.44,91.078,849.28,783.03,347.05,194.49,151.98,676.48,775.14,376.99,269.17,249.71,670.61,884.46,324.19,169.46,124.49,696.94,734.43,318.16,178.19,134.18,692.8,694.9,310.99,174.34,137.16,497.73,613.13,260.89,137.13,89.535,888.26,663.97,373.66,216.52,149.14,753.12,617.17,337.11,192.57,162,778.99,629.43,363.05,176.58,115.05,860.86,679.2,396.45,210.94,145.9,709.81,604.6,402.62,245.13,184.87,569.66,543.01,324.17,222.26,155.95,730.89,570.49,340.98,180.68,116.64,536.06,376.11,293.53,178.79,93.235,606.03,587.15,309.42,175.6,122.75,793.46,633.57,368.37,227.04,188.65,460.93,589.2,280.52,168.12,122.84,467.35,496.98,253.2,145.97,88.516,968.99,776.7,369.92,221.31,173.42,561.37,640.73,315.59,228.11,186.88,866.58,832.01,343.01,192.98,148.36,741.9,811.17,321.16,182.7,147.3,1363,633.14,385.39,265.09,235.02,1251.6,505.21,325.92,243.4,234.1,472.16,281.37,203.7,170.62,140.17,1987.5,1351.3,903.74,442.66,212.75,1.72E+05,87067,51228,38458,30627,1.10E+05,63258,44602,35487,29772,1.14E+05,39445,23153,17381,13803,0.16991,0.086969,0.051689,0.040022,0.03391
1,643.06,541.76,355.83,229.67,176.81,679.86,577.13,389.77,217.99,147.19,749.36,601.07,429.35,234.22,156.43,772.12,598.6,411.83,310.15,279.07,532.02,434.67,264.98,182.67,151.44,578.44,444.09,317.59,180.34,126.59,552.96,483.2,282.28,189,143.23,799.12,656.26,494.05,369.83,384.42,529.98,557.25,292.01,188.79,149.99,457.82,417.14,229.97,155.24,91.022,749.38,690.98,336.08,232,185.25,676.16,716.13,357.6,241.88,201.28,624.35,775.23,305.73,180.15,132.78,647.8,687.48,316.66,194.6,157.58,668.92,627.37,299.97,166.4,124.22,493.98,513.09,241.12,136.76,92.641,767.31,575.23,374.37,232.32,167.53,710.21,544.77,348,213.98,185.45,717.04,576.39,369.79,184.93,114.9,818.58,629.7,394.29,224.47,155.74,699.77,556.33,371.29,233.93,152.15,537.59,497.99,307.16,184.88,120.76,733.71,548.28,354.21,186.85,122.91,530.36,368.93,288.78,195.83,97.902,543.12,515.34,301.68,189.17,130.84,771.8,615.14,386.03,247.99,210.41,453.28,520.84,305.15,171.13,122.56,475.22,440.1,241.38,149.96,89.167,855.92,723.81,401.72,249.81,214.09,547.32,584.58,330.81,217.57,182.49,780.05,748.51,353.76,202.23,159.76,700.57,701.55,319.77,169.35,117.9,1493,768.45,429.52,342.21,277.21,1020.6,469.93,365.14,311.53,305.21,1324.4,695.27,429.51,329.1,263.24,1906.5,1342.3,852.78,437.8,230.4,54172,27349,16104,12076,9677.3,49462,30493,19667,15191,13128,1.45E+05,17643,8349.5,6260.6,4960.5,0.049568,0.027433,0.02223,0.021014,0.019164
1,603.1,516.36,350,210.02,145.1,665.12,552.62,379.31,216.51,137.6,715.92,580.97,410.02,237.04,154.64,688.3,583.31,403.48,302.99,267.59,502.82,430.32,270.66,159.34,135.95,537.8,449.3,325,177.1,128.89,527.99,465.31,279.68,178.88,141.33,775.64,657.1,454.83,346.16,332.12,510.21,542.86,275.91,178.85,139.87,407.42,401.97,233.26,146.29,88.253,681.57,643.08,338.48,209.57,176.5,649.77,670.62,317.37,213.45,177.83,632.71,730.31,302.13,190.29,150.59,685.19,673.47,329.2,237.66,209.11,691.97,641.8,296.99,177.29,136.68,423.98,500.43,240.31,134.31,90.213,701.35,566.25,368.15,217.75,157.63,719.26,537.77,348.63,217.9,175.71,757.06,546.36,377.99,189.39,113.95,789.62,610.71,393.97,210.6,151.98,598.17,515.81,383.19,204.49,142.45,530.65,476.74,313.63,178.47,123.88,690.66,534.84,358.49,187.48,124.19,495.96,370.56,297.51,185.06,97.434,534.78,551.15,310.83,191.99,129.01,705.69,579.15,362.12,247.11,207.94,450.6,502.91,284.11,175.23,119.12,419.49,416.84,237.54,144.83,86.414,799.71,695.41,384.2,254.43,205.97,513.37,569.77,300.6,191.12,155,739.02,746.24,343.72,205.02,155.64,708.39,744.41,313.57,170.9,121.7,1126.9,640.97,404.75,326.28,254.66,974.67,504.87,360.3,295.26,292.93,714.46,391.67,268.03,207.17,184.26,2884.3,1686.6,1054.8,630.02,426.72,2516.5,1247.8,745.45,625.54,1031.5,48169,29779,22292,17572,15501,1.50E+05,17069,7971.6,5921.8,4673.7,0.66167,0.33442,0.19745,0.14833,0.1181
